#Counts(s),#Real temp,#Real temp,#Errors,#delay(50000)
11450,32,305.15,1,
11500,31.94,305.09,1,
11550,31.94,305.09,1,
11600,31.87,305.02,1,
11650,31.81,304.96,1,
11700,31.75,304.9,1,
11750,31.75,304.9,1,
11800,31.69,304.84,1,
11850,31.62,304.77,1,
11900,31.5,304.65,1,
11950,31.5,304.65,1,
12000,31.44,304.59,1,
12050,31.37,304.52,1,
12100,31.37,304.52,1,
12150,31.31,304.46,1,
12200,31.25,304.4,1,
12250,31.19,304.34,1,
12300,31.12,304.27,1,
12350,31.06,304.21,1,
12400,31.06,304.21,1,
12450,31,304.15,1,
12500,30.94,304.09,1,
12550,30.94,304.09,1,
12600,30.87,304.02,1,
12650,30.81,303.96,1,
12700,30.75,303.9,1,
12750,30.69,303.84,1,
12800,30.69,303.84,1,
12850,30.62,303.77,1,
12900,30.56,303.71,1,
12950,30.56,303.71,1,
13000,30.5,303.65,1,
13050,30.44,303.59,1,
13100,30.44,303.59,1,
13150,30.37,303.52,1,
13200,30.31,303.46,1,
13250,30.25,303.4,1,
13300,30.25,303.4,1,
13350,30.19,303.34,1,
13400,30.12,303.27,1,
13450,30.06,303.21,1,
13500,30.06,303.21,1,
13550,30,303.15,1,
13600,30,303.15,1,
13650,29.94,303.09,1,
13700,29.94,303.09,1,
13750,29.87,303.02,1,
13800,29.81,302.96,1,
13850,29.75,302.9,1,
13900,29.75,302.9,1,
13950,29.69,302.84,1,
14000,29.69,302.84,1,
14050,29.62,302.77,1,
14100,29.56,302.71,1,
14150,29.5,302.65,1,
14200,29.5,302.65,1,
14250,29.44,302.59,1,
14300,29.44,302.59,1,
14350,29.37,302.52,1,
14400,29.37,302.52,1,
14450,29.31,302.46,1,
14500,29.31,302.46,1,
14550,29.25,302.4,1,
14600,29.19,302.34,1,
14650,29.19,302.34,1,
14700,29.19,302.34,1,
14750,29.12,302.27,1,
14800,29.06,302.21,1,
14850,29.06,302.21,1,
14900,29,302.15,1,
14950,28.94,302.09,1,
15000,28.87,302.02,1,
15050,28.87,302.02,1,
15100,28.87,302.02,1,
15150,28.87,302.02,1,
15200,28.75,301.9,1,
15250,28.75,301.9,1,
15300,28.75,301.9,1,
15350,28.69,301.84,1,
15400,28.69,301.84,1,
15450,28.62,301.77,1,
15500,28.62,301.77,1,
15550,28.56,301.71,1,
15600,28.56,301.71,1,
15650,28.5,301.65,1,
15700,28.44,301.59,1,
15750,28.44,301.59,1,
15800,28.37,301.52,1,
15850,28.37,301.52,1,
15900,28.37,301.52,1,
15950,28.31,301.46,1,
16000,28.31,301.46,1,
16050,28.25,301.4,1,
16100,28.25,301.4,1,
16150,28.25,301.4,1,
16200,28.19,301.34,1,
16250,28.12,301.27,1,
16300,28.12,301.27,1,
16350,28.06,301.21,1,
16400,28.06,301.21,1,
16450,28,301.15,1,
16500,28,301.15,1,
16550,28,301.15,1,
16600,27.94,301.09,1,
16650,27.94,301.09,1,
16700,27.87,301.02,1,
16750,27.87,301.02,1,
16800,27.87,301.02,1,
16850,27.81,300.96,1,
16900,27.81,300.96,1,
16950,27.81,300.96,1,
17000,27.75,300.9,1,
17050,27.75,300.9,1,
17100,27.69,300.84,1,
17150,27.69,300.84,1,
17200,27.69,300.84,1,
17250,27.62,300.77,1,
17300,27.62,300.77,1,
17350,27.56,300.71,1,
17400,27.56,300.71,1,
17450,27.5,300.65,1,
17500,27.5,300.65,1,
17550,27.5,300.65,1,
17600,27.44,300.59,1,
17650,27.44,300.59,1,
17700,27.44,300.59,1,
17750,27.37,300.52,1,
17800,27.37,300.52,1,
17850,27.31,300.46,1,
17900,27.31,300.46,1,
17950,27.25,300.4,1,
18000,27.25,300.4,1,
18050,27.25,300.4,1,
18100,27.19,300.34,1,
18150,27.19,300.34,1,
18200,27.19,300.34,1,
18250,27.12,300.27,1,
18300,27.12,300.27,1,
18350,27.06,300.21,1,
18400,27.06,300.21,1,
18450,27.06,300.21,1,
18500,27.06,300.21,1,
18550,27,300.15,1,
18600,27,300.15,1,
18650,27,300.15,1,
18700,26.94,300.09,1,
18750,26.94,300.09,1,
18800,26.94,300.09,1,
18850,26.87,300.02,1,
18900,26.87,300.02,1,
18950,26.81,299.96,1,
19000,26.81,299.96,1,
19050,26.81,299.96,1,
19100,26.75,299.9,1,
19150,26.75,299.9,1,
19200,26.75,299.9,1,
19250,26.69,299.84,1,
19300,26.69,299.84,1,
19350,26.62,299.77,1,
19400,26.62,299.77,1,
19450,26.62,299.77,1,
19500,26.62,299.77,1,
19550,26.62,299.77,1,
19600,26.56,299.71,1,
19650,26.56,299.71,1,
19700,26.56,299.71,1,
19750,26.56,299.71,1,
19800,26.5,299.65,1,
19850,26.5,299.65,1,
19900,26.5,299.65,1,
19950,26.5,299.65,1,
20000,26.44,299.59,1,
20050,26.44,299.59,1,
20100,26.44,299.59,1,
20150,26.37,299.52,1,
20200,26.37,299.52,1,
20250,26.37,299.52,1,
20300,26.37,299.52,1,
20350,26.31,299.46,1,
20400,26.31,299.46,1,
20450,26.31,299.46,1,
20500,26.25,299.4,1,
20550,26.25,299.4,1,
20600,26.25,299.4,1,
20650,26.19,299.34,1,
20700,26.19,299.34,1,
20750,26.19,299.34,1,
20800,26.19,299.34,1,
20850,26.12,299.27,1,
20900,26.12,299.27,1,
20950,26.12,299.27,1,
21000,26.12,299.27,1,
21050,26.06,299.21,1,
21100,26.06,299.21,1,
21150,26.06,299.21,1,
21200,26.06,299.21,1,
21250,26,299.15,1,
21300,26,299.15,1,
21350,26,299.15,1,
21400,26,299.15,1,
21450,25.94,299.09,1,
21500,25.94,299.09,1,
21550,25.94,299.09,1,
21600,25.94,299.09,1,
21650,25.87,299.02,1,
21700,25.87,299.02,1,
21750,25.87,299.02,1,
21800,25.87,299.02,1,
21850,25.81,298.96,1,
21900,25.87,299.02,1,
21950,25.81,298.96,1,
22000,25.81,298.96,1,
22050,25.81,298.96,1,
22100,25.81,298.96,1,
22150,25.75,298.9,1,
22200,25.75,298.9,1,
22250,25.69,298.84,1,
22300,25.69,298.84,1,
22350,25.69,298.84,1,
22400,25.69,298.84,1,
22450,25.69,298.84,1,
22500,25.62,298.77,1,
22550,25.62,298.77,1,
22600,25.62,298.77,1,
22650,25.62,298.77,1,
22700,25.62,298.77,1,
22750,25.56,298.71,1,
22800,25.56,298.71,1,
22850,25.56,298.71,1,
22900,25.56,298.71,1,
22950,25.5,298.65,1,
23000,25.5,298.65,1,
23050,25.5,298.65,1,
23100,25.5,298.65,1,
