#Counts,#Real temp,#Real temp,#Errors
12500,56,329,1
12550,55.94,328.94,1
12600,55.81,328.81,1
12650,55.81,328.81,1
12700,55.69,328.69,1
12750,55.69,328.69,1
12800,55.63,328.63,1
12850,55.56,328.56,1
12900,55.5,328.5,1
12950,55.5,328.5,1
13000,55.44,328.44,1
13050,55.38,328.38,1
13100,55.31,328.31,1
13150,55.31,328.31,1
13200,55.19,328.19,1
13250,55.13,328.13,1
13300,55.13,328.13,1
13350,55,328,1
13400,55,328,1
13450,54.94,327.94,1
13500,54.88,327.88,1
13550,54.81,327.81,1
13600,54.75,327.75,1
13650,54.69,327.69,1
13700,54.69,327.69,1
13750,54.63,327.63,1
13800,54.56,327.56,1
13850,54.5,327.5,1
13900,54.44,327.44,1
13950,54.38,327.38,1
14000,54.31,327.31,1
14050,54.31,327.31,1
14100,54.25,327.25,1
14150,54.13,327.13,1
14200,54.13,327.13,1
14250,54.06,327.06,1
14300,54,327,1
14350,53.94,326.94,1
14400,53.88,326.88,1
14450,53.81,326.81,1
14500,53.75,326.75,1
14550,53.75,326.75,1
14600,53.69,326.69,1
14650,53.63,326.63,1
14700,53.56,326.56,1
14750,53.5,326.5,1
14800,53.44,326.44,1
14850,53.44,326.44,1
14900,53.31,326.31,1
14950,53.31,326.31,1
15000,53.25,326.25,1
15050,53.19,326.19,1
15100,53.19,326.19,1
15150,53.13,326.13,1
15200,53.06,326.06,1
15250,53,326,1
15300,52.94,325.94,1
15350,52.94,325.94,1
15400,52.88,325.88,1
15450,52.81,325.81,1
15500,52.81,325.81,1
15550,52.75,325.75,1
15600,52.69,325.69,1
15650,52.63,325.63,1
15700,52.56,325.56,1
15750,52.5,325.5,1
15800,52.5,325.5,1
15850,52.44,325.44,1
15900,52.38,325.38,1
15950,52.31,325.31,1
16000,52.31,325.31,1
16050,52.25,325.25,1
16100,52.19,325.19,1
16150,52.19,325.19,1
16200,52.13,325.13,1
16250,52.06,325.06,1
16300,52,325,1
16350,51.94,324.94,1
16400,51.94,324.94,1
16450,51.88,324.88,1
16500,51.81,324.81,1
16550,51.81,324.81,1
16600,51.75,324.75,1
16650,51.69,324.69,1
16700,51.63,324.63,1
16750,51.63,324.63,1
16800,51.56,324.56,1
16850,51.5,324.5,1
16900,51.44,324.44,1
16950,51.44,324.44,1
17000,51.38,324.38,1
17050,51.31,324.31,1
17100,51.25,324.25,1
17150,51.25,324.25,1
17200,51.19,324.19,1
17250,51.13,324.13,1
17300,51.06,324.06,1
17350,51,324,1
17400,51,324,1
17450,50.94,323.94,1
17500,50.88,323.88,1
17550,50.81,323.81,1
17600,50.81,323.81,1
17650,50.81,323.81,1
17700,50.75,323.75,1
17750,50.69,323.69,1
17800,50.69,323.69,1
17850,50.63,323.63,1
17900,50.56,323.56,1
17950,50.56,323.56,1
18000,50.5,323.5,1
18050,50.44,323.44,1
18100,50.44,323.44,1
18150,50.38,323.38,1
18200,50.31,323.31,1
18250,50.31,323.31,1
18300,50.25,323.25,1
18350,50.19,323.19,1
18400,50.19,323.19,1
18450,50.13,323.13,1
18500,50.06,323.06,1
18550,50,323,1
18600,50,323,1
18650,49.94,322.94,1
18700,49.94,322.94,1
18750,49.88,322.88,1
18800,49.81,322.81,1
18850,49.81,322.81,1
18900,49.75,322.75,1
18950,49.69,322.69,1
19000,49.69,322.69,1
19050,49.63,322.63,1
19100,49.56,322.56,1
19150,49.56,322.56,1
19200,49.5,322.5,1
19250,49.44,322.44,1
19300,49.44,322.44,1
19350,49.38,322.38,1
19400,49.31,322.31,1
19450,49.31,322.31,1
19500,49.25,322.25,1
19550,49.25,322.25,1
19600,49.19,322.19,1
19650,49.13,322.13,1
19700,49.13,322.13,1
19750,49.06,322.06,1
19800,49.06,322.06,1
19850,49,322,1
19900,49,322,1
19950,48.94,321.94,1
20000,48.94,321.94,1
20050,48.88,321.88,1
20100,48.81,321.81,1
20150,48.81,321.81,1
20200,48.75,321.75,1
20250,48.69,321.69,1
20300,48.69,321.69,1
20350,48.63,321.63,1
20400,48.56,321.56,1
20450,48.56,321.56,1
20500,48.5,321.5,1
20550,48.5,321.5,1
20600,48.44,321.44,1
20650,48.44,321.44,1
20700,48.38,321.38,1
20750,48.31,321.31,1
20800,48.31,321.31,1
20850,48.25,321.25,1
20900,48.25,321.25,1
20950,48.19,321.19,1
21000,48.19,321.19,1
21050,48.13,321.13,1
21100,48.06,321.06,1
21150,48.06,321.06,1
21200,48,321,1
21250,48,321,1
21300,48,321,1
21350,47.94,320.94,1
21400,47.88,320.88,1
21450,47.88,320.88,1
21500,47.81,320.81,1
21550,47.81,320.81,1
21600,47.75,320.75,1
21650,47.69,320.69,1
21700,47.69,320.69,1
21750,47.63,320.63,1
21800,47.56,320.56,1
21850,47.56,320.56,1
21900,47.5,320.5,1
21950,47.44,320.44,1
22000,47.44,320.44,1
